idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
348,1774840784.2928522,map,base_footprint,4.8363591303120534,1.6119745940799568,0.0,0.0,0.0,0.9928596777896479,0.11928813947512353,2.90244691067681
349,1774840788.0694504,map,base_footprint,4.787596446274035,1.6300528714251181,0.0,0.0,0.0,0.9952747051399465,0.09709923433576881,2.9470877239172353
350,1774840789.628725,map,base_footprint,4.734105405790846,1.6219767603623405,0.0,0.0,0.0,0.9981804666413826,0.06029723057978381,3.020924997273395
351,1774840792.655524,map,base_footprint,4.659613969576437,1.633026012337799,0.0,0.0,0.0,0.9998044743575283,0.01977405003196474,3.102041975768364
352,1774840796.1481867,map,base_footprint,4.5963646259161655,1.634361201695392,0.0,0.0,0.0,0.9999794436665661,-0.006411883054526001,-3.128768799610148
353,1774840798.4630494,map,base_footprint,4.557891945385277,1.633198856316266,0.0,0.0,0.0,0.9998763677521398,-0.01572416009800123,-3.110143037320857
354,1774840801.5726802,map,base_footprint,4.50869375480739,1.630498579547676,0.0,0.0,0.0,0.9999191752069828,-0.012713892141558823,-3.116164184219393
355,1774840804.0035572,map,base_footprint,4.462674124406765,1.6280993359394642,0.0,0.0,0.0,0.9978324559997389,-0.06580569696864455,-3.0098860859676995
356,1774840806.6461434,map,base_footprint,4.3896647370646695,1.6151991836222794,0.0,0.0,0.0,0.9971666811410536,-0.07522373310422975,-2.9910029376049203
357,1774840809.290303,map,base_footprint,4.350943244284933,1.610906494676968,0.0,0.0,0.0,0.9983420958790427,-0.05755918341881134,-3.0264106261279595
358,1774840811.827992,map,base_footprint,4.297159147930703,1.6101768893026198,0.0,0.0,0.0,0.9994044039455003,-0.03450851162161583,-3.072561924992452
359,1774840814.474002,map,base_footprint,4.255928993193731,1.6085538768569583,0.0,0.0,0.0,0.9996597074727357,0.026085805633035662,3.089415123648265
360,1774840817.443761,map,base_footprint,4.198261900379028,1.6038921029342148,0.0,0.0,0.0,0.9918018896652995,0.12778502125187158,2.8853219156597345
361,1774840819.8335853,map,base_footprint,4.16487958418616,1.6102577122241082,0.0,0.0,0.0,0.9977231283484785,0.0674430067429185,3.006604174063642
362,1774840822.270182,map,base_footprint,4.109902923371703,1.6088037622315405,0.0,0.0,0.0,0.9993574635770055,0.03584215385456219,3.069892988674017
363,1774840825.691877,map,base_footprint,4.053902716746974,1.6175026904763437,0.0,0.0,0.0,0.9999998894760028,0.00047015740155359015,3.1406523387520435
364,1774840828.3119957,map,base_footprint,4.006405160415992,1.6153850470468067,0.0,0.0,0.0,0.9992588170199728,-0.03849437111896507,-3.0645848847957464
365,1774840830.6565192,map,base_footprint,3.9724246318140546,1.60304491911444,0.0,0.0,0.0,0.9994170054034833,-0.034141606733335224,-3.073296167446417
366,1774840836.666748,map,base_footprint,3.916864122841518,1.5953078428160656,0.0,0.0,0.0,0.9995193121168017,-0.031002333872721246,-3.079578048969548
367,1774840839.7060792,map,base_footprint,3.868284503546171,1.597366686500704,0.0,0.0,0.0,0.9996911540608732,-0.024851488736884947,-3.0918845586295602
368,1774840841.9619265,map,base_footprint,3.804893527861996,1.589034115135323,0.0,0.0,0.0,0.9999805054785749,-0.006244090231080833,-3.1291043919766315
