idx,t_sec,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
192,1774840275.5493,map,base_footprint,7.68910496871603,3.47692281736076,0,0,0,0.6125251671242,0.790451086177678,1.31850248391708
193,1774840278.35468,map,base_footprint,7.68903240062329,3.48267276433949,0,0,0,0.600069051339851,0.799948206838475,1.28717485152437
194,1774840281.20492,map,base_footprint,7.70972862879067,3.52484553853557,0,0,0,0.563354633016762,0.82621520045237,1.19688089496183
195,1774840283.39632,map,base_footprint,7.71689145391172,3.5587202719852,0,0,0,0.579566127449793,0.814925213693165,1.23639236400083
196,1774840286.19586,map,base_footprint,7.7269582178067,3.57738357626314,0,0,0,0.601103437148117,0.799171231870066,1.28976223965552
197,1774840288.75482,map,base_footprint,7.73593687682457,3.63210329618537,0,0,0,0.636331869016588,0.771415421464892,1.37946763897945
198,1774840291.26291,map,base_footprint,7.73943233201364,3.67094488569448,0,0,0,0.665038509549279,0.746809065837095,1.45509076454513
199,1774840293.73616,map,base_footprint,7.74203886179613,3.72407185336042,0,0,0,0.703919541901959,0.710279718511332,1.56180164845371
200,1774840296.26789,map,base_footprint,7.73711510123256,3.76818136178275,0,0,0,0.750884960802395,0.660433021313127,1.69880206154423
201,1774840298.82835,map,base_footprint,7.72738250964512,3.8048627835406,0,0,0,0.787809316630667,0.615919215993398,1.81448818325507
202,1774840301.3793,map,base_footprint,7.71650490810835,3.85371442812108,0,0,0,0.851785815281569,0.523890183993853,2.03876933007396
203,1774840303.89013,map,base_footprint,7.70051787686319,3.88688690578196,0,0,0,0.892679295255092,0.450692440387979,2.20651090351401
204,1774840306.09245,map,base_footprint,7.6827422798296,3.91412836043952,0,0,0,0.913852428543214,0.406046473751061,2.30534532750669
205,1774840308.41219,map,base_footprint,7.66210781883642,3.93243019110759,0,0,0,0.932683845513686,0.360694946343587,2.40356687347869
206,1774840310.68848,map,base_footprint,7.63772546652608,3.95063972332429,0,0,0,0.949207591617496,0.314650517265924,2.50141575778766
207,1774840312.98442,map,base_footprint,7.61820156398238,3.97486904347426,0,0,0,0.963981566080663,0.265969058833302,2.60317455340449
208,1774840316.41997,map,base_footprint,7.61073541203443,3.97565835390541,0,0,0,0.966131723540048,0.258049399862772,2.61958729884815
209,1774840322.43182,map,base_footprint,7.59410028915222,3.99080048058292,0,0,0,0.977640494656906,0.210283292743387,2.71786320832576
210,1774840330.99326,map,base_footprint,7.58641006691878,3.98421969075304,0,0,0,0.977962654838034,0.208779897840154,2.7209382588184
211,1774840333.87571,map,base_footprint,7.55865815423271,4.00362608451759,0,0,0,0.98955042531524,0.144187224671352,2.85220952342204
212,1774840336.60333,map,base_footprint,7.52928723982949,4.01588870167296,0,0,0,0.998091875337541,0.0617463228475193,3.01802140144082
213,1774840338.85439,map,base_footprint,7.49861939057265,4.01933206483819,0,0,0,0.999997850110204,-0.00207358987491695,-3.13744547086796
214,1774840341.52766,map,base_footprint,7.47291104043581,4.04106363345057,0,0,0,0.998026998554767,-0.0627862258442388,-3.0159375517939
215,1774840346.17581,map,base_footprint,7.4312594397837,4.02086099445313,0,0,0,0.991561874617088,-0.129634288696495,-2.88159235894999
216,1774840349.29475,map,base_footprint,7.41313818142438,4.0006549810966,0,0,0,0.983529302763743,-0.180748749940535,-2.77809727964493
217,1774840351.53413,map,base_footprint,7.37197974259216,3.99853628285262,0,0,0,0.958628681728133,-0.284659534476156,-2.56429015255045
218,1774840354.07004,map,base_footprint,7.35760756340512,3.97240109942601,0,0,0,0.938575730366919,-0.345073323173794,-2.43695884214941
219,1774840356.13027,map,base_footprint,7.32620843155809,3.94984231601427,0,0,0,0.897507849602521,-0.440998480611735,-2.22817090717202
220,1774840358.724,map,base_footprint,7.32545592119581,3.93958059773032,0,0,0,0.886429209172993,-0.462864188639543,-2.17914538123541
221,1774840361.05011,map,base_footprint,7.31087624058595,3.91891923173747,0,0,0,-0.854370250778953,0.5196647713516,-2.04867558446096
222,1774840363.1417,map,base_footprint,7.30097809064906,3.89292530263125,0,0,0,-0.800056191850018,0.599925070223314,-1.85477775386622
