# timestamp tx ty tz qx qy qz qw
1770106692094144043 -4.776972 -0.255831 4.824959 -0.004137 0.187335 -0.029023 0.981858
1770106693411270752 -4.659789 -0.254472 5.095520 0.002393 0.274787 -0.028295 0.961086
1770106693606963379 -4.649425 -0.258386 5.108101 0.001305 0.274515 -0.028323 0.961165
1770106693816565918 -4.810726 -0.291014 4.880203 -0.009416 0.255211 -0.028237 0.966427
1770106694033591064 -4.623773 -0.270051 5.156369 -0.001208 0.265737 -0.024224 0.963740
1770106694284480957 -4.562217 -0.273713 5.232314 -0.004306 0.240828 -0.023391 0.970276
1770106694519667236 -4.503503 -0.279967 5.292890 -0.006849 0.212737 -0.019506 0.976891
1770106694800061279 -4.417117 -0.285398 5.349528 -0.007671 0.157427 -0.012614 0.987420
1770106695033505859 -4.382853 -0.276601 5.336391 -0.004063 0.109483 -0.003407 0.993974
1770106695286243164 -4.278388 -0.255962 5.444768 -0.002416 0.033160 0.001452 0.999446
1770106695583635986 -4.255842 -0.155580 5.461020 0.006805 -0.031099 0.001745 0.999492
1770106695840434570 -4.181442 -0.133282 5.565609 0.007620 -0.093228 0.004283 0.995606
1770106696108565674 -4.147087 -0.121160 5.674569 0.004584 -0.156522 0.010229 0.987611
1770106696426270508 -4.142642 -0.099185 5.783811 0.008193 -0.219777 0.012519 0.975436
1770106696706559814 -4.049019 -0.120358 5.898398 0.007107 -0.252159 0.013335 0.967568
1770106697046073242 -3.993909 -0.149782 6.029737 0.002519 -0.291427 0.013632 0.956493
1770106697330979004 -4.012278 -0.166301 6.101862 -0.001856 -0.320709 0.015228 0.947054
1770106697630627441 -4.031220 -0.154953 6.187621 -0.007723 -0.372110 0.019072 0.927961
1770106697989546143 -4.049988 -0.182655 6.231131 -0.013903 -0.407135 0.014843 0.913141
1770106698296310791 -4.062780 -0.218028 6.337063 -0.026386 -0.466531 0.014627 0.883990
1770106698675121582 -4.055390 -0.230159 6.365307 -0.029920 -0.503646 0.016854 0.863227
1770106698991793457 -4.083007 -0.243080 6.409207 -0.036912 -0.536125 0.017786 0.843143
1770106699319522461 -4.164737 -0.230757 6.456959 -0.037601 -0.566185 0.017988 0.823224
1770106699718675537 -4.206119 -0.234475 6.480946 -0.036259 -0.559391 0.011774 0.828027
1770106700054730225 -4.265586 -0.226410 6.493296 -0.031067 -0.524221 0.007414 0.850983
1770106700401528564 -4.314800 -0.204094 6.498525 -0.021029 -0.488049 0.005749 0.872544
1770106700822525391 -4.360976 -0.173749 6.497428 -0.010952 -0.438169 0.004637 0.898814
1770106701178687256 -4.402071 -0.169331 6.510025 -0.009819 -0.397102 0.003950 0.917713
1770106701614428467 -4.500370 -0.138707 6.453064 0.001640 -0.332777 -0.001372 0.943003
1770106701982918701 -4.568379 -0.128115 6.462662 0.006435 -0.284639 -0.004300 0.958604
1770106702356807617 -4.643437 -0.138913 6.474323 0.004349 -0.223553 -0.006386 0.974661
1770106702813634033 -4.712453 -0.162336 6.486764 0.000457 -0.174909 -0.009848 0.984535
1770106703200893066 -4.854747 -0.157341 6.494170 0.002282 -0.100953 -0.009697 0.994841
1770106703673055664 -4.894596 -0.157841 6.539505 0.003140 -0.054441 -0.010051 0.998461
1770106704074846924 -5.003547 -0.175536 6.604035 -0.002209 0.014220 -0.016309 0.999763
1770106704479711182 -5.051491 -0.164078 6.700228 0.000911 0.074343 -0.021636 0.996998
1770106704965071533 -5.074759 -0.163023 6.789396 -0.001715 0.134290 -0.025468 0.990613
1770106705378657471 -5.117412 -0.144470 6.875963 -0.000917 0.184667 -0.029849 0.982347
1770106705881148438 -5.079716 -0.139440 6.980570 0.000111 0.223108 -0.029935 0.974334
1770106706309450928 -5.066996 -0.140488 7.011795 0.000359 0.222298 -0.029431 0.974534
1770106706747687500 -5.039783 -0.137160 7.063130 0.001155 0.196035 -0.025850 0.980256
1770106707167442139 -5.003197 -0.132542 7.127699 0.000534 0.171830 -0.025622 0.984793
